id,ID-Cliente,Nro Llamadas,ID-Llegada
660,171,6,440
664,171,6,2137
669,171,6,3475
675,172,7,3260
676,172,7,128
678,172,7,357
681,172,7,229
685,172,7,210
690,172,7,317
696,172,7,484
703,173,6,2381
704,173,6,255
706,173,6,2352
709,173,6,477
713,173,6,3046
718,173,6,2865
724,174,4,3332
725,174,4,2850
727,174,4,131
730,174,4,3302
734,175,6,389
735,175,6,3156
737,175,6,115
740,175,6,443
744,175,6,110
749,175,6,366
755,176,7,3202
756,176,7,132
758,176,7,2301
761,176,7,3151
765,176,7,118
770,176,7,218
776,176,7,380
783,177,4,2516
784,177,4,2156
786,177,4,434
789,177,4,3086
793,178,5,438
794,178,5,2002
796,178,5,403
799,178,5,3112
803,178,5,273
808,179,4,102
809,179,4,402
811,179,4,444
814,179,4,82
818,180,7,203
819,180,7,278
821,180,7,85
824,180,7,194
828,180,7,2525
833,180,7,2370
839,180,7,57
846,181,7,450
847,181,7,175
849,181,7,2490
852,181,7,181
856,181,7,299
861,181,7,3126
867,181,7,487
874,182,7,2815
875,182,7,228
877,182,7,3349
880,182,7,277
884,182,7,3154
889,182,7,24
895,182,7,63
902,183,4,2999
903,183,4,387
905,183,4,3299
908,183,4,143
912,184,5,2853
913,184,5,257
915,184,5,3101
918,184,5,312
922,184,5,388
927,185,7,2868
928,185,7,2191
930,185,7,2681
933,185,7,235
937,185,7,116
942,185,7,3224
948,185,7,83
955,186,7,159
956,186,7,2186
958,186,7,199
961,186,7,393
965,186,7,69
970,186,7,2228
976,186,7,2714
983,187,5,477
984,187,5,115
986,187,5,3083
989,187,5,3474
993,187,5,346
998,188,6,2520
999,188,6,2403
1001,188,6,225
1004,188,6,320
1008,188,6,3451
1013,188,6,192
1019,189,6,9
1020,189,6,348
1022,189,6,3080
1025,189,6,203
1029,189,6,2389
1034,189,6,484
1040,190,4,49
1041,190,4,2557
1043,190,4,2328
1046,190,4,384
1050,191,6,2435
1051,191,6,2757
1053,191,6,152
1056,191,6,429
1060,191,6,90
1065,191,6,435
1071,192,6,2963
1072,192,6,349
1074,192,6,158
1077,192,6,313
1081,192,6,2556
1086,192,6,242
1092,193,7,353
1093,193,7,470
1095,193,7,290
1098,193,7,17
1102,193,7,3493
1107,193,7,327
1113,193,7,296
1120,194,6,403
1121,194,6,456
1123,194,6,3344
1126,194,6,378
1130,194,6,62
1135,194,6,451
1141,195,4,68
1142,195,4,390
1144,195,4,3316
1147,195,4,86
1151,196,7,494
1152,196,7,375
1154,196,7,2907
1157,196,7,452
1161,196,7,2670
1166,196,7,59
1172,196,7,2052
1179,197,6,196
1180,197,6,2552
1182,197,6,2541
1185,197,6,3125
1189,197,6,74
1194,197,6,10
1200,198,6,3176
1201,198,6,438
1203,198,6,228
1206,198,6,2414
1210,198,6,131
1215,198,6,299
1221,199,6,371
1222,199,6,3230
1224,199,6,247
1227,199,6,3410
1231,199,6,3425
1236,199,6,2309
1242,200,6,3430
1243,200,6,97
1245,200,6,188
1248,200,6,2527
1252,200,6,3127
1257,200,6,301
1263,201,6,2559
1264,201,6,3048
1266,201,6,334
1269,201,6,250
1273,201,6,131
1278,201,6,3411
1284,202,5,2610
1285,202,5,433
1287,202,5,3440
1290,202,5,3282
1294,202,5,371
1299,203,5,3074
1300,203,5,237
1302,203,5,3415
1305,203,5,3127
1309,203,5,307
1314,204,6,432
1315,204,6,2850
1317,204,6,304
1320,204,6,27
1324,204,6,389
1329,204,6,8
1335,205,4,240
1336,205,4,276
1338,205,4,313
1341,205,4,154
1345,206,4,123
1346,206,4,440
1348,206,4,3222
1351,206,4,2925
1355,207,6,3208
1356,207,6,2828
1358,207,6,45
1361,207,6,284
1365,207,6,209
1370,207,6,236
1376,208,6,498
1377,208,6,2562
1379,208,6,3258
1382,208,6,16
1386,208,6,414
1391,208,6,2749
1397,209,7,486
1398,209,7,2343
1400,209,7,313
1403,209,7,192
1407,209,7,286
1412,209,7,3328
1418,209,7,56
1425,210,6,3495
1426,210,6,349
1428,210,6,3186
1431,210,6,18
1435,210,6,2690
1440,210,6,107
1446,211,7,2213
1447,211,7,2253
1449,211,7,2480
1452,211,7,2913
1456,211,7,3092
1461,211,7,2222
1467,211,7,465
1474,212,5,239
1475,212,5,359
1477,212,5,202
1480,212,5,2447
1484,212,5,3148
1489,213,5,3070
1490,213,5,2966
1492,213,5,425
1495,213,5,114
1499,213,5,2661
1504,214,6,2058
1505,214,6,92
1507,214,6,2887
1510,214,6,3299
1514,214,6,3428
1519,214,6,88
1525,215,5,169
1526,215,5,374
1528,215,5,3207
1531,215,5,292
1535,215,5,141
1540,216,7,2101
1541,216,7,137
1543,216,7,350
1546,216,7,437
1550,216,7,2915
1555,216,7,2871
1561,216,7,311
1568,217,4,237
1569,217,4,184
1571,217,4,423
1574,217,4,484
1578,218,5,12
1579,218,5,2852
1581,218,5,3153
1584,218,5,2857
1588,218,5,432
1593,219,5,2194
1594,219,5,2738
1596,219,5,2455
1599,219,5,3138
1603,219,5,3450
1608,220,6,357
1609,220,6,381
1611,220,6,92
1614,220,6,194
1618,220,6,334
1623,220,6,79
1629,221,6,308
1630,221,6,117
1632,221,6,3465
1635,221,6,3393
1639,221,6,2140
1644,221,6,377
1650,222,6,230
1651,222,6,55
1653,222,6,31
1656,222,6,293
1660,222,6,242
1665,222,6,151
1671,223,5,301
1672,223,5,66
1674,223,5,52
1677,223,5,383
1681,223,5,248
1686,224,7,2036
1687,224,7,3411
1689,224,7,232
1692,224,7,3080
1696,224,7,320
1701,224,7,286
1707,224,7,2470
1714,225,7,2043
1715,225,7,2027
1717,225,7,144
1720,225,7,252
1724,225,7,2816
1729,225,7,174
1735,225,7,3182
1742,226,5,439
1743,226,5,324
1745,226,5,453
1748,226,5,2128
1752,226,5,180
1757,227,4,3414
1758,227,4,1
1760,227,4,3218
1763,227,4,47
1767,228,7,2311
1768,228,7,2848
1770,228,7,3389
1773,228,7,103
1777,228,7,2934
1782,228,7,2892
1788,228,7,496
1795,229,7,157
1796,229,7,479
1798,229,7,2350
1801,229,7,109
1805,229,7,2315
1810,229,7,382
1816,229,7,448
1823,230,7,57
1824,230,7,325
1826,230,7,2483
1829,230,7,3060
1833,230,7,427
1838,230,7,2222
1844,230,7,2291
1851,231,6,2253
1852,231,6,71
1854,231,6,2138
1857,231,6,254
1861,231,6,340
1866,231,6,3258
1872,232,6,330
1873,232,6,113
1875,232,6,2552
1878,232,6,89
1882,232,6,129
1887,232,6,162
1893,233,7,67
1894,233,7,76
1896,233,7,3227
1899,233,7,347
1903,233,7,355
1908,233,7,328
1914,233,7,182
1921,234,5,238
1922,234,5,88
1924,234,5,2524
1927,234,5,213
1931,234,5,468
1936,235,7,282
1937,235,7,112
1939,235,7,467
1942,235,7,3012
1946,235,7,163
1951,235,7,2060
1957,235,7,3008
1964,236,4,3201
1965,236,4,326
1967,236,4,153
1970,236,4,468
1974,237,6,53
1975,237,6,166
1977,237,6,495
1980,237,6,9
1984,237,6,3184
1989,237,6,332
1995,238,5,2854
1996,238,5,427
1998,238,5,107
2001,238,5,216
2005,238,5,3488
2010,239,5,56
2011,239,5,176
2013,239,5,318
2016,239,5,254
2020,239,5,271
2025,240,6,324
2026,240,6,464
2028,240,6,2874
2031,240,6,264
2035,240,6,11
2040,240,6,401
2046,241,7,143
2047,241,7,2665
2049,241,7,2069
2052,241,7,2190
2056,241,7,3490
2061,241,7,3026
2067,241,7,174
2074,242,6,3232
2075,242,6,498
2077,242,6,258
2080,242,6,46
2084,242,6,3184
2089,242,6,448
2095,243,5,3406
2096,243,5,338
2098,243,5,147
2101,243,5,403
2105,243,5,403
2110,244,4,102
2111,244,4,219
2113,244,4,149
2116,244,4,2510
2120,245,5,202
2121,245,5,471
2123,245,5,2928
2126,245,5,3001
2130,245,5,142
2135,246,4,2462
2136,246,4,361
2138,246,4,2267
2141,246,4,32
2145,247,6,315
2146,247,6,21
2148,247,6,2777
2151,247,6,477
2155,247,6,246
2160,247,6,321
2166,248,7,136
2167,248,7,33
2169,248,7,303
2172,248,7,488
2176,248,7,2627
2181,248,7,3320
2187,248,7,3113
2194,249,5,176
2195,249,5,159
2197,249,5,39
2200,249,5,352
2204,249,5,427
2209,250,6,2030
2210,250,6,453
2212,250,6,2478
2215,250,6,2874
2219,250,6,495
2224,250,6,460
2230,251,5,2763
2231,251,5,153
2233,251,5,111
2236,251,5,211
2240,251,5,2155
2245,252,5,2207
2246,252,5,200
2248,252,5,2867
2251,252,5,2809
2255,252,5,235
2260,253,5,304
2261,253,5,121
2263,253,5,371
2266,253,5,370
2270,253,5,2355
2275,254,4,2377
2276,254,4,453
2278,254,4,2140
2281,254,4,2635
2285,255,6,489
2286,255,6,297
2288,255,6,33
2291,255,6,421
2295,255,6,232
2300,255,6,3353
2306,256,7,52
2307,256,7,2212
2309,256,7,2390
2312,256,7,3125
2316,256,7,415
2321,256,7,2072
2327,256,7,3292
2334,257,7,227
2335,257,7,62
2337,257,7,3028
2340,257,7,2214
2344,257,7,300
2349,257,7,2317
2355,257,7,36
2362,258,7,155
2363,258,7,3311
2365,258,7,2254
2368,258,7,243
2372,258,7,371
2377,258,7,2631
2383,258,7,2383
2390,259,4,10
2391,259,4,365
2393,259,4,2712
2396,259,4,2669
2400,260,6,3056
2401,260,6,2183
2403,260,6,498
2406,260,6,2522
2410,260,6,2042
2415,260,6,2535
2421,261,7,2596
2422,261,7,2755
2424,261,7,263
2427,261,7,272
2431,261,7,396
2436,261,7,57
2442,261,7,171
2449,262,6,234
2450,262,6,3192
2452,262,6,293
2455,262,6,491
2459,262,6,12
2464,262,6,452
2470,263,4,3312
2471,263,4,3036
2473,263,4,169
2476,263,4,2367
2480,264,6,109
2481,264,6,2325
2483,264,6,40
2486,264,6,2
2490,264,6,3430
2495,264,6,321
2501,265,5,89
2502,265,5,288
2504,265,5,8
2507,265,5,140
2511,265,5,405
2516,266,7,2092
2517,266,7,160
2519,266,7,3192
2522,266,7,2496
2526,266,7,482
2531,266,7,422
2537,266,7,346
2544,267,5,2533
2545,267,5,2256
2547,267,5,2615
2550,267,5,2948
2554,267,5,194
2559,268,4,2665
2560,268,4,3243
2562,268,4,2700
2565,268,4,2934
2569,269,6,290
2570,269,6,2371
2572,269,6,28
2575,269,6,53
2579,269,6,2297
2584,269,6,455
2590,270,6,423
2591,270,6,217
2593,270,6,2309
2596,270,6,488
2600,270,6,3223
2605,270,6,441
2611,271,4,3461
2612,271,4,2882
2614,271,4,2618
2617,271,4,321
2621,272,7,2436
2622,272,7,403
2624,272,7,213
2627,272,7,401
2631,272,7,370
2636,272,7,2299
2642,272,7,166
2649,273,7,2118
2650,273,7,2253
2652,273,7,402
2655,273,7,9
2659,273,7,2601
2664,273,7,151
2670,273,7,41
2677,274,6,252
2678,274,6,47
2680,274,6,2236
2683,274,6,288
2687,274,6,279
2692,274,6,15
2698,275,4,2577
2699,275,4,2454
2701,275,4,51
2704,275,4,2135
2708,276,4,377
2709,276,4,318
2711,276,4,3272
2714,276,4,2642
2718,277,4,2745
2719,277,4,2014
2721,277,4,184
2724,277,4,68
2728,278,4,3041
2729,278,4,3296
2731,278,4,304
2734,278,4,374
2738,279,4,148
2739,279,4,193
2741,279,4,114
2744,279,4,3020
2748,280,5,2507
2749,280,5,3280
2751,280,5,2966
2754,280,5,3432
2758,280,5,113
2763,281,5,2185
2764,281,5,81
2766,281,5,34
2769,281,5,413
2773,281,5,64
2778,282,4,418
2779,282,4,304
2781,282,4,3464
2784,282,4,381
2788,283,5,3112
2789,283,5,3175
2791,283,5,2135
2794,283,5,321
2798,283,5,3250
2803,284,7,2772
2804,284,7,484
2806,284,7,15
2809,284,7,2031
2813,284,7,114
2818,284,7,220
2824,284,7,419
2831,285,6,2568
2832,285,6,95
2834,285,6,173
2837,285,6,2999
2841,285,6,3406
2846,285,6,358
2852,286,5,2193
2853,286,5,3049
2855,286,5,144
2858,286,5,3150
2862,286,5,2214
2867,287,6,2184
2868,287,6,2787
2870,287,6,55
2873,287,6,456
2877,287,6,3425
2882,287,6,378
2888,288,6,2429
2889,288,6,2831
2891,288,6,3298
2894,288,6,3202
2898,288,6,366
2903,288,6,244
2909,289,4,246
2910,289,4,402
2912,289,4,494
2915,289,4,3405
2919,290,5,213
2920,290,5,117
2922,290,5,2959
2925,290,5,3125
2929,290,5,2609
2934,291,7,414
2935,291,7,2812
2937,291,7,171
2940,291,7,257
2944,291,7,363
2949,291,7,102
2955,291,7,2353
2962,292,7,482
2963,292,7,423
2965,292,7,72
2968,292,7,211
2972,292,7,3265
2977,292,7,147
2983,292,7,218
2990,293,7,3395
2991,293,7,45
2993,293,7,22
2996,293,7,2261
3000,293,7,337
3005,293,7,482
3011,293,7,171
3018,294,7,2611
3019,294,7,162
3021,294,7,2499
3024,294,7,283
3028,294,7,461
3033,294,7,434
3039,294,7,2137
3046,295,7,386
3047,295,7,248
3049,295,7,2135
3052,295,7,460
3056,295,7,3340
3061,295,7,2687
3067,295,7,3466
3074,296,5,410
3075,296,5,41
3077,296,5,178
3080,296,5,307
3084,296,5,110
3089,297,7,3423
3090,297,7,2981
3092,297,7,81
3095,297,7,177
3099,297,7,3358
3104,297,7,138
3110,297,7,83
3117,298,7,2711
3118,298,7,446
3120,298,7,371
3123,298,7,2117
3127,298,7,2674
3132,298,7,2475
3138,298,7,234
3145,299,6,3198
3146,299,6,89
3148,299,6,484
3151,299,6,3158
3155,299,6,2559
3160,299,6,238
3166,300,6,177
3167,300,6,485
3169,300,6,438
3172,300,6,159
3176,300,6,3409
3181,300,6,168
3187,301,5,41
3188,301,5,3425
3190,301,5,123
3193,301,5,3423
3197,301,5,2424
3202,302,7,431
3203,302,7,3040
3205,302,7,325
3208,302,7,3401
3212,302,7,98
3217,302,7,2836
3223,302,7,3467
3230,303,6,2645
3231,303,6,381
3233,303,6,146
3236,303,6,145
3240,303,6,2204
3245,303,6,409
3251,304,5,393
3252,304,5,77
3254,304,5,3438
3257,304,5,2474
3261,304,5,235
3266,305,7,380
3267,305,7,2422
3269,305,7,422
3272,305,7,343
3276,305,7,217
3281,305,7,2537
3287,305,7,3047
3294,306,4,2301
3295,306,4,207
3297,306,4,2812
3300,306,4,456
3304,307,6,302
3305,307,6,2343
3307,307,6,2835
3310,307,6,2787
3314,307,6,3394
3319,307,6,2892
3325,308,5,2953
3326,308,5,11
3328,308,5,2571
3331,308,5,426
3335,308,5,424
3340,309,4,59
3341,309,4,352
3343,309,4,259
3346,309,4,99
3350,310,4,212
3351,310,4,401
3353,310,4,3082
3356,310,4,2549
3360,311,6,136
3361,311,6,251
3363,311,6,487
3366,311,6,3047
3370,311,6,3169
3375,311,6,372
3381,312,7,212
3382,312,7,2279
3384,312,7,170
3387,312,7,463
3391,312,7,3100
3396,312,7,2964
3402,312,7,2409
3409,313,5,3208
3410,313,5,295
3412,313,5,268
3415,313,5,254
3419,313,5,2209
3424,314,4,3266
3425,314,4,383
3427,314,4,2140
3430,314,4,3128
3434,315,7,3100
3435,315,7,98
3437,315,7,2091
3440,315,7,3136
3444,315,7,231
3449,315,7,2925
3455,315,7,2626
3462,316,4,436
3463,316,4,2113
3465,316,4,2579
3468,316,4,261
3472,317,5,3358
3473,317,5,2917
3475,317,5,2956
3478,317,5,138
3482,317,5,138
3487,318,7,45
3488,318,7,390
3490,318,7,266
3493,318,7,2281
3497,318,7,281
3502,318,7,343
3508,318,7,3149
3515,319,5,29
3516,319,5,2735
3518,319,5,259
3521,319,5,3117
3525,319,5,13
3530,320,5,426
3531,320,5,2920
3533,320,5,345
3536,320,5,467
3540,320,5,3293
3545,321,4,4
3546,321,4,105
3548,321,4,164
3551,321,4,391
3555,322,5,2540
3556,322,5,3044
3558,322,5,62
3561,322,5,2802
3565,322,5,135
3570,323,4,364
3571,323,4,2074
3573,323,4,487
3576,323,4,88
3580,324,4,2324
3581,324,4,452
3583,324,4,427
3586,324,4,16
3590,325,5,60
3591,325,5,192
3593,325,5,297
3596,325,5,2974
3600,325,5,344
3605,326,4,2036
3606,326,4,358
3608,326,4,2378
3611,326,4,114
3615,327,5,3053
3616,327,5,3496
3618,327,5,3459
3621,327,5,234
3625,327,5,108
3630,328,6,3248
3631,328,6,249
3633,328,6,115
3636,328,6,444
3640,328,6,2436
3645,328,6,268
3651,329,7,2752
3652,329,7,2991
3654,329,7,102
3657,329,7,2015
3661,329,7,307
3666,329,7,491
3672,329,7,1
3679,330,4,3118
3680,330,4,3271
3682,330,4,3236
3685,330,4,2362
3689,331,7,339
3690,331,7,3384
3692,331,7,196
3695,331,7,2320
3699,331,7,2252
3704,331,7,442
3710,331,7,78
3717,332,5,2128
3718,332,5,3266
3720,332,5,364
3723,332,5,31
3727,332,5,3113
3732,333,6,202
3733,333,6,429
3735,333,6,5
3738,333,6,367
3742,333,6,2926
3747,333,6,3101
3753,334,5,249
3754,334,5,109
3756,334,5,118
3759,334,5,416
3763,334,5,494
3768,335,4,51
3769,335,4,42
3771,335,4,2978
3774,335,4,245
3778,336,6,2368
3779,336,6,2115
3781,336,6,322
3784,336,6,2912
3788,336,6,2374
3793,336,6,2815
3799,337,6,95
3800,337,6,3160
3802,337,6,2556
3805,337,6,467
3809,337,6,268
3814,337,6,2160
3820,338,6,264
3821,338,6,73
3823,338,6,479
3826,338,6,2018
3830,338,6,3188
3835,338,6,100
3841,339,4,283
3842,339,4,125
3844,339,4,431
3847,339,4,3478
3851,340,7,485
3852,340,7,2933
3854,340,7,2979
3857,340,7,3437
3861,340,7,325
3866,340,7,2885
3872,340,7,2198
3879,341,7,143
3880,341,7,2412
3882,341,7,281
3885,341,7,249
3889,341,7,351
3894,341,7,3440
3900,341,7,2782
3907,342,4,127
3908,342,4,338
3910,342,4,168
3913,342,4,3067
3917,343,7,116
3918,343,7,2652
3920,343,7,2409
3923,343,7,3245
3927,343,7,2195
3932,343,7,2823
3938,343,7,204
3945,344,7,3339
3946,344,7,2690
3948,344,7,2475
3951,344,7,2100
3955,344,7,498
3960,344,7,138
3966,344,7,2317
3973,345,6,3280
3974,345,6,3426
3976,345,6,197
3979,345,6,95
3983,345,6,243
3988,345,6,2712
3994,346,5,2317
3995,346,5,2888
3997,346,5,2126
4000,346,5,91
4004,346,5,341
4009,347,6,480
4010,347,6,2103
4012,347,6,3249
4015,347,6,44
4019,347,6,2156
4024,347,6,2664
4030,348,6,244
4031,348,6,195
4033,348,6,310
4036,348,6,2291
4040,348,6,3114
4045,348,6,228
4051,349,4,465
4052,349,4,2726
4054,349,4,3068
4057,349,4,424
4061,350,7,2248
4062,350,7,151
4064,350,7,20
4067,350,7,336
4071,350,7,3416
4076,350,7,280
4082,350,7,2148
4089,351,7,423
4090,351,7,2512
4092,351,7,2356
4095,351,7,2133
4099,351,7,3361
4104,351,7,421
4110,351,7,3239
4117,352,5,230
4118,352,5,323
4120,352,5,489
4123,352,5,295
4127,352,5,2467
4132,353,6,275
4133,353,6,2308
4135,353,6,2488
4138,353,6,115
4142,353,6,2481
4147,353,6,2201
4153,354,7,58
4154,354,7,306
4156,354,7,192
4159,354,7,400
4163,354,7,423
4168,354,7,2032
4174,354,7,290
4181,355,7,2606
4182,355,7,240
4184,355,7,2636
4187,355,7,93
4191,355,7,156
4196,355,7,3453
4202,355,7,102
4209,356,6,428
4210,356,6,3416
4212,356,6,2168
4215,356,6,3449
4219,356,6,2427
4224,356,6,376
4230,357,5,355
4231,357,5,301
4233,357,5,3390
4236,357,5,206
4240,357,5,2207
4245,358,4,452
4246,358,4,433
4248,358,4,3061
4251,358,4,3161
4255,359,7,133
4256,359,7,340
4258,359,7,295
4261,359,7,411
4265,359,7,3158
4270,359,7,2787
4276,359,7,3237
4283,360,4,254
4284,360,4,3416
4286,360,4,34
4289,360,4,182
4293,361,4,56
4294,361,4,55
4296,361,4,220
4299,361,4,2990
4303,362,6,68
4304,362,6,3119
4306,362,6,102
4309,362,6,2017
4313,362,6,3318
4318,362,6,48
4324,363,4,492
4325,363,4,2218
4327,363,4,315
4330,363,4,2223
4334,364,6,358
4335,364,6,2217
4337,364,6,2538
4340,364,6,44
4344,364,6,3333
4349,364,6,2104
4355,365,7,442
4356,365,7,45
4358,365,7,203
4361,365,7,3361
4365,365,7,18
4370,365,7,176
4376,365,7,2582
4383,366,5,2774
4384,366,5,19
4386,366,5,220
4389,366,5,88
4393,366,5,3191
4398,367,7,435
4399,367,7,3150
4401,367,7,3200
4404,367,7,441
4408,367,7,3450
4413,367,7,2927
4419,367,7,3425
4426,368,7,2499
4427,368,7,2662
4429,368,7,481
4432,368,7,423
4436,368,7,373
4441,368,7,2082
4447,368,7,52
4454,369,5,45
4455,369,5,2155
4457,369,5,69
4460,369,5,2828
4464,369,5,365
4469,370,6,178
4470,370,6,492
4472,370,6,2191
4475,370,6,2121
4479,370,6,105
4484,370,6,417
4490,371,7,11
4491,371,7,2822
4493,371,7,2780
4496,371,7,72
4500,371,7,490
4505,371,7,3073
4511,371,7,338
4518,372,6,133
4519,372,6,2665
4521,372,6,204
4524,372,6,247
4528,372,6,281
4533,372,6,3371
4539,373,6,3287
4540,373,6,2853
4542,373,6,16
4545,373,6,2843
4549,373,6,23
4554,373,6,41
4560,374,4,2707
4561,374,4,408
4563,374,4,3201
4566,374,4,3358
4570,375,7,167
4571,375,7,243
4573,375,7,303
4576,375,7,154
4580,375,7,3413
4585,375,7,250
4591,375,7,423
4598,376,7,2282
4599,376,7,89
4601,376,7,2872
4604,376,7,3287
4608,376,7,2016
4613,376,7,188
4619,376,7,402
4626,377,7,105
4627,377,7,479
4629,377,7,324
4632,377,7,2554
4636,377,7,74
4641,377,7,2482
4647,377,7,264
4654,378,4,249
4655,378,4,2839
4657,378,4,294
4660,378,4,132
4664,379,5,2
4665,379,5,2689
4667,379,5,54
4670,379,5,480
4674,379,5,2084
4679,380,7,254
4680,380,7,2368
4682,380,7,6
4685,380,7,2048
4689,380,7,340
4694,380,7,2330
4700,380,7,421
4707,381,7,378
4708,381,7,2953
4710,381,7,23
4713,381,7,7
4717,381,7,375
4722,381,7,371
4728,381,7,3309
4735,382,7,84
4736,382,7,74
4738,382,7,2959
4741,382,7,275
4745,382,7,2575
4750,382,7,381
4756,382,7,2863
4763,383,5,474
4764,383,5,2970
4766,383,5,3157
4769,383,5,376
4773,383,5,337
4778,384,7,2626
4779,384,7,3023
4781,384,7,416
4784,384,7,3436
4788,384,7,396
4793,384,7,398
4799,384,7,173
4806,385,4,3052
4807,385,4,3395
4809,385,4,445
4812,385,4,2019
4816,386,4,158
4817,386,4,303
4819,386,4,2932
4822,386,4,41
4826,387,4,3457
4827,387,4,100
