"EdgeBetweenness","interaction","name","Nro Llamadas","selected","shared interaction","shared name"
"33256.64880952449","interacts with","1500 (interacts with) 1117","22","false","interacts with","1500 (interacts with) 1117"
"80725.83134920627","interacts with","1500 (interacts with) 1242","22","false","interacts with","1500 (interacts with) 1242"
"30326.66468254014","interacts with","1500 (interacts with) 1335","22","false","interacts with","1500 (interacts with) 1335"
"289859.6188311723","interacts with","1490 (interacts with) 1206","7","false","interacts with","1490 (interacts with) 1206"
"34378.74632034597","interacts with","1490 (interacts with) 1101","7","false","interacts with","1490 (interacts with) 1101"
"41149.91450216457","interacts with","1490 (interacts with) 1106","7","false","interacts with","1490 (interacts with) 1106"
"978.0","interacts with","1490 (interacts with) 1074","7","false","interacts with","1490 (interacts with) 1074"
"1775532.6800865647","interacts with","1490 (interacts with) 1358","7","false","interacts with","1490 (interacts with) 1358"
"145350.06363636025","interacts with","1490 (interacts with) 1288","7","false","interacts with","1490 (interacts with) 1288"
"157750.9766233799","interacts with","1490 (interacts with) 1451","7","false","interacts with","1490 (interacts with) 1451"
"1847746.997113987","interacts with","1459 (interacts with) 1468","8","false","interacts with","1459 (interacts with) 1468"
"216843.2841857539","interacts with","1459 (interacts with) 1013","8","false","interacts with","1459 (interacts with) 1013"
"38833.34285714271","interacts with","1459 (interacts with) 3358","8","false","interacts with","1459 (interacts with) 3358"
"178024.4900210908","interacts with","1459 (interacts with) 1319","8","false","interacts with","1459 (interacts with) 1319"
"317196.87820929196","interacts with","1459 (interacts with) 1292","8","false","interacts with","1459 (interacts with) 1292"
"36739.56071428566","interacts with","1459 (interacts with) 2073","8","false","interacts with","1459 (interacts with) 2073"
"519775.5665683107","interacts with","1459 (interacts with) 1206","8","false","interacts with","1459 (interacts with) 1206"
"228985.05000000214","interacts with","1459 (interacts with) 3116","8","false","interacts with","1459 (interacts with) 3116"
"227934.08333333337","interacts with","1446 (interacts with) 3264","8","false","interacts with","1446 (interacts with) 3264"
"578703.0829865306","interacts with","1446 (interacts with) 1292","8","false","interacts with","1446 (interacts with) 1292"
"145155.8107142874","interacts with","1446 (interacts with) 3323","8","false","interacts with","1446 (interacts with) 3323"
"43054.908333332925","interacts with","1446 (interacts with) 1098","8","false","interacts with","1446 (interacts with) 1098"
"249494.15270285137","interacts with","1446 (interacts with) 1345","8","false","interacts with","1446 (interacts with) 1345"
"369512.4059251196","interacts with","1446 (interacts with) 1231","8","false","interacts with","1446 (interacts with) 1231"
"3873678.1027558376","interacts with","1446 (interacts with) 1461","8","false","interacts with","1446 (interacts with) 1461"
"390469.25939790223","interacts with","1446 (interacts with) 1391","8","false","interacts with","1446 (interacts with) 1391"
"217993.1412794716","interacts with","1477 (interacts with) 1447","9","false","interacts with","1477 (interacts with) 1447"
"294358.44155566813","interacts with","1477 (interacts with) 1247","9","false","interacts with","1477 (interacts with) 1247"
"231198.21001082414","interacts with","1477 (interacts with) 1465","9","false","interacts with","1477 (interacts with) 1465"
"19050.108191808253","interacts with","1477 (interacts with) 1094","9","false","interacts with","1477 (interacts with) 1094"
"444752.93445166474","interacts with","1477 (interacts with) 1492","9","false","interacts with","1477 (interacts with) 1492"
"207327.23421577996","interacts with","1477 (interacts with) 1401","9","false","interacts with","1477 (interacts with) 1401"
"1770976.5029932817","interacts with","1477 (interacts with) 1218","9","false","interacts with","1477 (interacts with) 1218"
"33474.051731601954","interacts with","1477 (interacts with) 1027","9","false","interacts with","1477 (interacts with) 1027"
"231558.00000000023","interacts with","1477 (interacts with) 2357","9","false","interacts with","1477 (interacts with) 2357"
"585008.6037238894","interacts with","1398 (interacts with) 1339","10","false","interacts with","1398 (interacts with) 1339"
"1828859.10194806","interacts with","1398 (interacts with) 1252","10","false","interacts with","1398 (interacts with) 1252"
"536696.4812428674","interacts with","1398 (interacts with) 1232","10","false","interacts with","1398 (interacts with) 1232"
"29050.297222222456","interacts with","1398 (interacts with) 1155","10","false","interacts with","1398 (interacts with) 1155"
"492687.3893287002","interacts with","1398 (interacts with) 1268","10","false","interacts with","1398 (interacts with) 1268"
"238634.1773809523","interacts with","1398 (interacts with) 1097","10","false","interacts with","1398 (interacts with) 1097"
"107313.49004328967","interacts with","1398 (interacts with) 1290","10","false","interacts with","1398 (interacts with) 1290"
"250029.06335874484","interacts with","1398 (interacts with) 1100","10","false","interacts with","1398 (interacts with) 1100"
"232972.0","interacts with","1398 (interacts with) 2931","10","false","interacts with","1398 (interacts with) 2931"
"416440.7046641182","interacts with","1398 (interacts with) 1225","10","false","interacts with","1398 (interacts with) 1225"
"379428.6222398229","interacts with","1411 (interacts with) 1495","12","false","interacts with","1411 (interacts with) 1495"
"265090.35671084776","interacts with","1411 (interacts with) 1412","12","false","interacts with","1411 (interacts with) 1412"
"161477.31692517956","interacts with","1411 (interacts with) 1095","12","false","interacts with","1411 (interacts with) 1095"
"2076334.275121954","interacts with","1411 (interacts with) 1497","12","false","interacts with","1411 (interacts with) 1497"
"31769.010714285367","interacts with","1411 (interacts with) 1162","12","false","interacts with","1411 (interacts with) 1162"
"55530.58345355178","interacts with","1411 (interacts with) 1006","12","false","interacts with","1411 (interacts with) 1006"
"210861.64178007827","interacts with","1411 (interacts with) 1293","12","false","interacts with","1411 (interacts with) 1293"
"673274.7876930853","interacts with","1411 (interacts with) 1212","12","false","interacts with","1411 (interacts with) 1212"
"127007.73399154922","interacts with","1411 (interacts with) 1013","12","false","interacts with","1411 (interacts with) 1013"
"232972.0","interacts with","1411 (interacts with) 2652","12","false","interacts with","1411 (interacts with) 2652"
"16133.261904762026","interacts with","1411 (interacts with) 1062","12","false","interacts with","1411 (interacts with) 1062"
"171475.5404761904","interacts with","1411 (interacts with) 2272","12","false","interacts with","1411 (interacts with) 2272"
"77399.36145798671","interacts with","1473 (interacts with) 1225","11","false","interacts with","1473 (interacts with) 1225"
"630165.0129163287","interacts with","1473 (interacts with) 1454","11","false","interacts with","1473 (interacts with) 1454"
"146298.18884448835","interacts with","1473 (interacts with) 1478","11","false","interacts with","1473 (interacts with) 1478"
"77027.65403485412","interacts with","1473 (interacts with) 1348","11","false","interacts with","1473 (interacts with) 1348"
"331304.8600402742","interacts with","1473 (interacts with) 1403","11","false","interacts with","1473 (interacts with) 1403"
"232972.0","interacts with","1473 (interacts with) 2175","11","false","interacts with","1473 (interacts with) 2175"
"143241.14224664107","interacts with","1473 (interacts with) 1394","11","false","interacts with","1473 (interacts with) 1394"
"981049.7402319935","interacts with","1473 (interacts with) 1143","11","false","interacts with","1473 (interacts with) 1143"
"96192.33474352348","interacts with","1473 (interacts with) 2738","11","false","interacts with","1473 (interacts with) 2738"
"117235.51022588373","interacts with","1473 (interacts with) 1274","11","false","interacts with","1473 (interacts with) 1274"
"61670.891053391686","interacts with","1473 (interacts with) 1222","11","false","interacts with","1473 (interacts with) 1222"
"69338.57990620463","interacts with","1390 (interacts with) 1018","6","false","interacts with","1390 (interacts with) 1018"
"232972.0","interacts with","1390 (interacts with) 2247","6","false","interacts with","1390 (interacts with) 2247"
"482841.46456699015","interacts with","1390 (interacts with) 1297","6","false","interacts with","1390 (interacts with) 1297"
"404426.95741226943","interacts with","1390 (interacts with) 1384","6","false","interacts with","1390 (interacts with) 1384"
"2051181.149115521","interacts with","1390 (interacts with) 1342","6","false","interacts with","1390 (interacts with) 1342"
"282774.65763144044","interacts with","1390 (interacts with) 1236","6","false","interacts with","1390 (interacts with) 1236"
"52414.94675324785","interacts with","1419 (interacts with) 1099","10","false","interacts with","1419 (interacts with) 1099"
"44137.58738238863","interacts with","1419 (interacts with) 1164","10","false","interacts with","1419 (interacts with) 1164"
"392862.16970252263","interacts with","1419 (interacts with) 1216","10","false","interacts with","1419 (interacts with) 1216"
"55198.416147741744","interacts with","1419 (interacts with) 2218","10","false","interacts with","1419 (interacts with) 2218"
"40389.22306027319","interacts with","1419 (interacts with) 2408","10","false","interacts with","1419 (interacts with) 2408"
"1434070.2246439222","interacts with","1419 (interacts with) 1330","10","false","interacts with","1419 (interacts with) 1330"
"1537765.7116784535","interacts with","1419 (interacts with) 1407","10","false","interacts with","1419 (interacts with) 1407"
"849886.9447416035","interacts with","1419 (interacts with) 1494","10","false","interacts with","1419 (interacts with) 1494"
"232972.0","interacts with","1419 (interacts with) 3171","10","false","interacts with","1419 (interacts with) 3171"
"35825.522510822164","interacts with","1419 (interacts with) 1062","10","false","interacts with","1419 (interacts with) 1062"
"978460.1297692597","interacts with","1386 (interacts with) 1419","7","false","interacts with","1386 (interacts with) 1419"
"769577.993194943","interacts with","1386 (interacts with) 1340","7","false","interacts with","1386 (interacts with) 1340"
"135159.3983808679","interacts with","1386 (interacts with) 1102","7","false","interacts with","1386 (interacts with) 1102"
"22418.115584415835","interacts with","1386 (interacts with) 1134","7","false","interacts with","1386 (interacts with) 1134"
"489590.6116558228","interacts with","1386 (interacts with) 1096","7","false","interacts with","1386 (interacts with) 1096"
"651557.9958579002","interacts with","1386 (interacts with) 1408","7","false","interacts with","1386 (interacts with) 1408"
"232972.0","interacts with","1386 (interacts with) 2326","7","false","interacts with","1386 (interacts with) 2326"
"523997.1997401302","interacts with","1385 (interacts with) 1482","4","false","interacts with","1385 (interacts with) 1482"
"823527.7836715602","interacts with","1385 (interacts with) 1450","4","false","interacts with","1385 (interacts with) 1450"
"869088.0165883299","interacts with","1385 (interacts with) 1336","4","false","interacts with","1385 (interacts with) 1336"
"887.0","interacts with","1385 (interacts with) 2647","4","false","interacts with","1385 (interacts with) 2647"
"261089.32808156594","interacts with","1380 (interacts with) 1142","4","false","interacts with","1380 (interacts with) 1142"
"881.0","interacts with","1380 (interacts with) 1091","4","false","interacts with","1380 (interacts with) 1091"
"1940529.671918397","interacts with","1380 (interacts with) 1251","4","false","interacts with","1380 (interacts with) 1251"
"881.0","interacts with","1380 (interacts with) 2210","4","false","interacts with","1380 (interacts with) 2210"
"879.0","interacts with","1375 (interacts with) 2124","5","false","interacts with","1375 (interacts with) 2124"
"879.0","interacts with","1375 (interacts with) 1126","5","false","interacts with","1375 (interacts with) 1126"
"1255094.3255702679","interacts with","1375 (interacts with) 1008","5","false","interacts with","1375 (interacts with) 1008"
"624025.5190226497","interacts with","1375 (interacts with) 1489","5","false","interacts with","1375 (interacts with) 1489"
"317501.1554070954","interacts with","1375 (interacts with) 1441","5","false","interacts with","1375 (interacts with) 1441"
"678556.2727452981","interacts with","1374 (interacts with) 1278","5","false","interacts with","1374 (interacts with) 1278"
"1614021.9517655836","interacts with","1374 (interacts with) 1423","5","false","interacts with","1374 (interacts with) 1423"
"132786.00809468268","interacts with","1374 (interacts with) 1378","5","false","interacts with","1374 (interacts with) 1378"
"354487.24542124313","interacts with","1374 (interacts with) 1182","5","false","interacts with","1374 (interacts with) 1182"
"232972.0","interacts with","1374 (interacts with) 2104","5","false","interacts with","1374 (interacts with) 2104"
"232972.0","interacts with","1393 (interacts with) 3043","6","false","interacts with","1393 (interacts with) 3043"
"3171779.772158367","interacts with","1393 (interacts with) 1461","6","false","interacts with","1393 (interacts with) 1461"
"816265.1038101126","interacts with","1393 (interacts with) 1406","6","false","interacts with","1393 (interacts with) 1406"
"232972.0","interacts with","1393 (interacts with) 2001","6","false","interacts with","1393 (interacts with) 2001"
"280502.84660207055","interacts with","1393 (interacts with) 1100","6","false","interacts with","1393 (interacts with) 1100"
"680897.3649524135","interacts with","1393 (interacts with) 1402","6","false","interacts with","1393 (interacts with) 1402"
"162662.33380785867","interacts with","1365 (interacts with) 1299","5","false","interacts with","1365 (interacts with) 1299"
"2217205.216581337","interacts with","1365 (interacts with) 1469","5","false","interacts with","1365 (interacts with) 1469"
"119468.6273809535","interacts with","1365 (interacts with) 1097","5","false","interacts with","1365 (interacts with) 1097"
"452801.4684870719","interacts with","1365 (interacts with) 1364","5","false","interacts with","1365 (interacts with) 1364"
"228661.45833333052","interacts with","1365 (interacts with) 2697","5","false","interacts with","1365 (interacts with) 2697"
"1.1482605755593104E7","interacts with","1363 (interacts with) 1191","4","false","interacts with","1363 (interacts with) 1191"
"232972.0","interacts with","1363 (interacts with) 3498","4","false","interacts with","1363 (interacts with) 3498"
"424569.28183579684","interacts with","1363 (interacts with) 1487","4","false","interacts with","1363 (interacts with) 1487"
"322710.85474582535","interacts with","1363 (interacts with) 1189","4","false","interacts with","1363 (interacts with) 1189"
"78874.29523809571","interacts with","1470 (interacts with) 2153","11","false","interacts with","1470 (interacts with) 2153"
"100432.80194805277","interacts with","1470 (interacts with) 1290","11","false","interacts with","1470 (interacts with) 1290"
"647090.0293408721","interacts with","1470 (interacts with) 1424","11","false","interacts with","1470 (interacts with) 1424"
"232972.0","interacts with","1470 (interacts with) 3066","11","false","interacts with","1470 (interacts with) 3066"
"5346216.0026915","interacts with","1470 (interacts with) 1397","11","false","interacts with","1470 (interacts with) 1397"
"335117.7273136352","interacts with","1470 (interacts with) 1256","11","false","interacts with","1470 (interacts with) 1256"
"40365.33177655696","interacts with","1470 (interacts with) 1153","11","false","interacts with","1470 (interacts with) 1153"
"49583.3523809527","interacts with","1470 (interacts with) 1125","11","false","interacts with","1470 (interacts with) 1125"
"515375.6730623066","interacts with","1470 (interacts with) 1300","11","false","interacts with","1470 (interacts with) 1300"
"231116.1714285698","interacts with","1470 (interacts with) 2385","11","false","interacts with","1470 (interacts with) 2385"
"43336.26474358973","interacts with","1470 (interacts with) 1099","11","false","interacts with","1470 (interacts with) 1099"
"232972.0","interacts with","1475 (interacts with) 2944","10","false","interacts with","1475 (interacts with) 2944"
"416613.15260675247","interacts with","1475 (interacts with) 1361","10","false","interacts with","1475 (interacts with) 1361"
"280009.1600593823","interacts with","1475 (interacts with) 1388","10","false","interacts with","1475 (interacts with) 1388"
"89013.76818181742","interacts with","1475 (interacts with) 1007","10","false","interacts with","1475 (interacts with) 1007"
"265828.9653885602","interacts with","1475 (interacts with) 1053","10","false","interacts with","1475 (interacts with) 1053"
"3663512.9546746863","interacts with","1475 (interacts with) 1410","10","false","interacts with","1475 (interacts with) 1410"
"664326.5044386421","interacts with","1475 (interacts with) 1128","10","false","interacts with","1475 (interacts with) 1128"
"597072.5614944678","interacts with","1475 (interacts with) 1246","10","false","interacts with","1475 (interacts with) 1246"
"597746.1098151342","interacts with","1475 (interacts with) 1075","10","false","interacts with","1475 (interacts with) 1075"
"57373.16587301606","interacts with","1475 (interacts with) 1155","10","false","interacts with","1475 (interacts with) 1155"
"444776.68430599803","interacts with","1415 (interacts with) 1410","11","false","interacts with","1415 (interacts with) 1410"
"146510.67395382488","interacts with","1415 (interacts with) 1093","11","false","interacts with","1415 (interacts with) 1093"
"5002794.352385964","interacts with","1415 (interacts with) 1218","11","false","interacts with","1415 (interacts with) 1218"
"176068.7333333314","interacts with","1415 (interacts with) 3081","11","false","interacts with","1415 (interacts with) 3081"
"149989.06666666683","interacts with","1415 (interacts with) 1059","11","false","interacts with","1415 (interacts with) 1059"
"465001.78743616835","interacts with","1415 (interacts with) 1472","11","false","interacts with","1415 (interacts with) 1472"
"261965.63587940094","interacts with","1415 (interacts with) 1034","11","false","interacts with","1415 (interacts with) 1034"
"463908.0","interacts with","1415 (interacts with) 1028","11","false","interacts with","1415 (interacts with) 1028"
"435718.5392199279","interacts with","1415 (interacts with) 1366","11","false","interacts with","1415 (interacts with) 1366"
"1257586.8148995996","interacts with","1415 (interacts with) 1403","11","false","interacts with","1415 (interacts with) 1403"
"136686.58365800773","interacts with","1415 (interacts with) 2588","11","false","interacts with","1415 (interacts with) 2588"
"223186.33708790978","interacts with","1494 (interacts with) 1216","10","false","interacts with","1494 (interacts with) 1216"
"15894.785714285761","interacts with","1494 (interacts with) 1127","10","false","interacts with","1494 (interacts with) 1127"
"542570.2306142441","interacts with","1494 (interacts with) 1398","10","false","interacts with","1494 (interacts with) 1398"
"232972.0","interacts with","1494 (interacts with) 2172","10","false","interacts with","1494 (interacts with) 2172"
"232972.0","interacts with","1494 (interacts with) 3286","10","false","interacts with","1494 (interacts with) 3286"
"410473.8310800241","interacts with","1494 (interacts with) 1261","10","false","interacts with","1494 (interacts with) 1261"
"57643.9039682542","interacts with","1494 (interacts with) 3362","10","false","interacts with","1494 (interacts with) 3362"
"63669.71666666628","interacts with","1494 (interacts with) 1249","10","false","interacts with","1494 (interacts with) 1249"
"147577.94035017138","interacts with","1494 (interacts with) 1356","10","false","interacts with","1494 (interacts with) 1356"
"1754351.9697941216","interacts with","1494 (interacts with) 1463","10","false","interacts with","1494 (interacts with) 1463"
"3067094.346229077","interacts with","1432 (interacts with) 1265","7","false","interacts with","1432 (interacts with) 1265"
"75832.48431013474","interacts with","1432 (interacts with) 1071","7","false","interacts with","1432 (interacts with) 1071"
"98511.49285714197","interacts with","1432 (interacts with) 1014","7","false","interacts with","1432 (interacts with) 1014"
"250210.242886691","interacts with","1432 (interacts with) 1147","7","false","interacts with","1432 (interacts with) 1147"
"232972.0","interacts with","1432 (interacts with) 2744","7","false","interacts with","1432 (interacts with) 2744"
"1372552.6697481698","interacts with","1432 (interacts with) 1281","7","false","interacts with","1432 (interacts with) 1281"
"232674.00000000242","interacts with","1432 (interacts with) 2255","7","false","interacts with","1432 (interacts with) 2255"
"241922.08874458837","interacts with","1488 (interacts with) 1337","11","false","interacts with","1488 (interacts with) 1337"
"1256002.8008991044","interacts with","1488 (interacts with) 1294","11","false","interacts with","1488 (interacts with) 1294"
"97575.58207070742","interacts with","1488 (interacts with) 1290","11","false","interacts with","1488 (interacts with) 1290"
"521404.1667345891","interacts with","1488 (interacts with) 1441","11","false","interacts with","1488 (interacts with) 1441"
"1739112.23742006","interacts with","1488 (interacts with) 1369","11","false","interacts with","1488 (interacts with) 1369"
"144491.66857864492","interacts with","1488 (interacts with) 2768","11","false","interacts with","1488 (interacts with) 2768"
"222091.26556915283","interacts with","1488 (interacts with) 1341","11","false","interacts with","1488 (interacts with) 1341"
"342492.1821485958","interacts with","1488 (interacts with) 1256","11","false","interacts with","1488 (interacts with) 1256"
"1541170.7382978199","interacts with","1488 (interacts with) 1463","11","false","interacts with","1488 (interacts with) 1463"
"164620.4376699768","interacts with","1488 (interacts with) 1129","11","false","interacts with","1488 (interacts with) 1129"
"232972.0","interacts with","1488 (interacts with) 2495","11","false","interacts with","1488 (interacts with) 2495"
"536733.7312207399","interacts with","1418 (interacts with) 1457","10","false","interacts with","1418 (interacts with) 1457"
"8832.367063491984","interacts with","1418 (interacts with) 1114","10","false","interacts with","1418 (interacts with) 1114"
"220768.08495034187","interacts with","1418 (interacts with) 2968","10","false","interacts with","1418 (interacts with) 2968"
"541398.8101973874","interacts with","1418 (interacts with) 1207","10","false","interacts with","1418 (interacts with) 1207"
"224698.27692307325","interacts with","1418 (interacts with) 3315","10","false","interacts with","1418 (interacts with) 3315"
"18406.448051948035","interacts with","1418 (interacts with) 2023","10","false","interacts with","1418 (interacts with) 2023"
"232972.0","interacts with","1418 (interacts with) 3466","10","false","interacts with","1418 (interacts with) 3466"
"14212.45000000009","interacts with","1418 (interacts with) 1077","10","false","interacts with","1418 (interacts with) 1077"
"226432.99918831483","interacts with","1418 (interacts with) 1013","10","false","interacts with","1418 (interacts with) 1013"
"2783212.0398249147","interacts with","1418 (interacts with) 1029","10","false","interacts with","1418 (interacts with) 1029"
"273321.8548451541","interacts with","1335 (interacts with) 1356","4","false","interacts with","1335 (interacts with) 1356"
"748462.1785767507","interacts with","1335 (interacts with) 1226","4","false","interacts with","1335 (interacts with) 1226"
"75773.25887445893","interacts with","1335 (interacts with) 1054","4","false","interacts with","1335 (interacts with) 1054"
"1639556.2875027445","interacts with","1335 (interacts with) 1135","4","false","interacts with","1335 (interacts with) 1135"
"232972.0","interacts with","1423 (interacts with) 3467","12","false","interacts with","1423 (interacts with) 3467"
"232972.0","interacts with","1423 (interacts with) 2058","12","false","interacts with","1423 (interacts with) 2058"
"73427.4055555555","interacts with","1423 (interacts with) 1083","12","false","interacts with","1423 (interacts with) 1083"
"573278.8962576593","interacts with","1423 (interacts with) 1243","12","false","interacts with","1423 (interacts with) 1243"
"219283.50271731146","interacts with","1423 (interacts with) 1286","12","false","interacts with","1423 (interacts with) 1286"
"1803734.1924693238","interacts with","1423 (interacts with) 1493","12","false","interacts with","1423 (interacts with) 1493"
"201745.63206515615","interacts with","1423 (interacts with) 1328","12","false","interacts with","1423 (interacts with) 1328"
"1480261.246302311","interacts with","1423 (interacts with) 1106","12","false","interacts with","1423 (interacts with) 1106"
"528004.7402922277","interacts with","1423 (interacts with) 1406","12","false","interacts with","1423 (interacts with) 1406"
"71777.05294011594","interacts with","1423 (interacts with) 1136","12","false","interacts with","1423 (interacts with) 1136"
"171597.14984182466","interacts with","1423 (interacts with) 1068","12","false","interacts with","1423 (interacts with) 1068"
"218041.16000388545","interacts with","1423 (interacts with) 1188","12","false","interacts with","1423 (interacts with) 1188"
"308917.69753824384","interacts with","1334 (interacts with) 1489","7","false","interacts with","1334 (interacts with) 1489"
"1003748.4949111732","interacts with","1334 (interacts with) 1042","7","false","interacts with","1334 (interacts with) 1042"
"1200670.7301040273","interacts with","1334 (interacts with) 1445","7","false","interacts with","1334 (interacts with) 1445"
"132800.1747474763","interacts with","1334 (interacts with) 1130","7","false","interacts with","1334 (interacts with) 1130"
"332087.28975469165","interacts with","1334 (interacts with) 1354","7","false","interacts with","1334 (interacts with) 1354"
"700255.9457894991","interacts with","1334 (interacts with) 1423","7","false","interacts with","1334 (interacts with) 1423"
"37803.970512820866","interacts with","1334 (interacts with) 1094","7","false","interacts with","1334 (interacts with) 1094"
"31271.74309868922","interacts with","1333 (interacts with) 2446","4","false","interacts with","1333 (interacts with) 2446"
"2071014.4797358573","interacts with","1333 (interacts with) 1444","4","false","interacts with","1333 (interacts with) 1444"
"245885.35464396712","interacts with","1333 (interacts with) 1202","4","false","interacts with","1333 (interacts with) 1202"
"231274.0","interacts with","1333 (interacts with) 2735","4","false","interacts with","1333 (interacts with) 2735"
"7012491.063178427","interacts with","1466 (interacts with) 1371","12","false","interacts with","1466 (interacts with) 1371"
"520714.238166575","interacts with","1466 (interacts with) 1302","12","false","interacts with","1466 (interacts with) 1302"
"586743.0321814613","interacts with","1466 (interacts with) 1256","12","false","interacts with","1466 (interacts with) 1256"
"1851219.684016621","interacts with","1466 (interacts with) 1462","12","false","interacts with","1466 (interacts with) 1462"
"232972.0","interacts with","1466 (interacts with) 2715","12","false","interacts with","1466 (interacts with) 2715"
"130646.0568376087","interacts with","1466 (interacts with) 2954","12","false","interacts with","1466 (interacts with) 2954"
"7919583.527102133","interacts with","1466 (interacts with) 1395","12","false","interacts with","1466 (interacts with) 1395"
"503081.52569708746","interacts with","1466 (interacts with) 1055","12","false","interacts with","1466 (interacts with) 1055"
"322952.7894670712","interacts with","1466 (interacts with) 1223","12","false","interacts with","1466 (interacts with) 1223"
"194644.54189609268","interacts with","1466 (interacts with) 1053","12","false","interacts with","1466 (interacts with) 1053"
"909567.3122348546","interacts with","1466 (interacts with) 1210","12","false","interacts with","1466 (interacts with) 1210"
"215671.49033127094","interacts with","1466 (interacts with) 1250","12","false","interacts with","1466 (interacts with) 1250"
"113501.04274630659","interacts with","1339 (interacts with) 1064","6","false","interacts with","1339 (interacts with) 1064"
"2913139.2074202476","interacts with","1339 (interacts with) 1418","6","false","interacts with","1339 (interacts with) 1418"
"26939.873015872923","interacts with","1339 (interacts with) 1103","6","false","interacts with","1339 (interacts with) 1103"
"99562.24783549894","interacts with","1339 (interacts with) 2543","6","false","interacts with","1339 (interacts with) 2543"
"44518.95833333358","interacts with","1339 (interacts with) 2581","6","false","interacts with","1339 (interacts with) 2581"
"721476.424938609","interacts with","1339 (interacts with) 1306","6","false","interacts with","1339 (interacts with) 1306"
"232972.0","interacts with","1331 (interacts with) 2879","6","false","interacts with","1331 (interacts with) 2879"
"1262506.3845101118","interacts with","1331 (interacts with) 1187","6","false","interacts with","1331 (interacts with) 1187"
"570337.3962437331","interacts with","1331 (interacts with) 1379","6","false","interacts with","1331 (interacts with) 1379"
"145022.65793650705","interacts with","1331 (interacts with) 3317","6","false","interacts with","1331 (interacts with) 3317"
"232595.66666666488","interacts with","1331 (interacts with) 2026","6","false","interacts with","1331 (interacts with) 2026"
"1119609.1196785273","interacts with","1331 (interacts with) 1119","6","false","interacts with","1331 (interacts with) 1119"
"572916.1395493376","interacts with","1487 (interacts with) 1303","11","false","interacts with","1487 (interacts with) 1303"
"458664.53506501124","interacts with","1487 (interacts with) 1141","11","false","interacts with","1487 (interacts with) 1141"
"707938.8240370766","interacts with","1487 (interacts with) 1338","11","false","interacts with","1487 (interacts with) 1338"
"500694.028372766","interacts with","1487 (interacts with) 1211","11","false","interacts with","1487 (interacts with) 1211"
"83491.11031746106","interacts with","1487 (interacts with) 1121","11","false","interacts with","1487 (interacts with) 1121"
"98682.51269841273","interacts with","1487 (interacts with) 1158","11","false","interacts with","1487 (interacts with) 1158"
"144004.15338827975","interacts with","1487 (interacts with) 2211","11","false","interacts with","1487 (interacts with) 2211"
"686763.3974508662","interacts with","1487 (interacts with) 1449","11","false","interacts with","1487 (interacts with) 1449"
"232972.0","interacts with","1487 (interacts with) 3488","11","false","interacts with","1487 (interacts with) 3488"
"1.5421387041963825E7","interacts with","1487 (interacts with) 1191","11","false","interacts with","1487 (interacts with) 1191"
"201700.25690130988","interacts with","1487 (interacts with) 2446","11","false","interacts with","1487 (interacts with) 2446"
"1052838.15861097","interacts with","1326 (interacts with) 1219","4","false","interacts with","1326 (interacts with) 1219"
"738764.0228493664","interacts with","1326 (interacts with) 1348","4","false","interacts with","1326 (interacts with) 1348"
"72358.50555555543","interacts with","1326 (interacts with) 1069","4","false","interacts with","1326 (interacts with) 1069"
"1021182.3992903302","interacts with","1326 (interacts with) 1318","4","false","interacts with","1326 (interacts with) 1318"
